pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_insol,st_teff,st_rad,st_mass,sy_dist,ra,dec,discoverymethod,disc_year
Kepler-334 d,1.41,2.57,25.09849,656.0,39.475,5828.0,1.068,1.022,426.59,287.1406177,47.1151153,Transit,2014
Kepler-251 d,2.77,8.1,30.133001,536.0,17.477,5526.0,0.89,0.891,924.625,296.5662171,44.1058077,Transit,2014
Kepler-729 b,3.58,12.5,3.166353714,1273.0,1089.549,5633.0,0.91,0.94,1921.15,286.3600604,45.4142664,Transit,2016
Kepler-687 b,3.52,12.2,20.50586978,518.0,15.648,4841.0,0.73,0.77,633.66,289.3154576,39.1532911,Transit,2016
Kepler-119 b,3.6,12.6,2.422082,1213.0,745.285,5595.0,0.839,0.918,701.996,295.9463854,42.6588324,Transit,2014
Kepler-1115 b,1.7,3.53,23.5540725,1381.0,516.101,8480.0,1.73,1.6,983.245,294.9917723,40.1443964,Transit,2016
Kepler-1073 b,2.3,5.9,8.67888593,905.0,128.55,5792.0,1.0,1.0,809.897,294.1527259,38.2330886,Transit,2016
HD 16175 b,12.8,1875.1876013,990.0,,,5981.0,1.72,1.63,59.859,39.2577379,42.0624526,Radial Velocity,2009
Kepler-405 b,2.08,4.98,10.613839,785.0,55.623,5818.0,0.893,0.873,1065.08,291.4094615,38.3400107,Transit,2014
KIC 10001893 c,,,0.32528,,,27500.0,0.18,0.47,1672.94,287.3892308,46.9844491,Orbital Brightness Modulation,2014
Kepler-899 b,2.68,7.65,19.17891293,640.0,62.198,5595.0,0.91,0.93,1246.43,297.4825612,40.6807412,Transit,2016
Kepler-1255 b,2.32,5.99,36.2919336,694.0,39.671,6018.0,1.12,1.08,1617.07,295.2392569,42.7264842,Transit,2016
KELT-23 A b,14.829507,298.12454,2.255251,1561.0,991.183,5899.0,0.996,0.944,126.261,232.1466406,66.3587097,Transit,2019
Kepler-1447 b,2.9,8.75,56.6747285,522.0,10.349,5722.0,0.95,0.97,890.296,289.6434285,50.727016,Transit,2016
TOI-220 b,3.03,13.8,10.695264,805.0,66.8553,5298.0,0.858,0.825,90.7402,91.7996988,-61.9972098,Transit,2021
HD 23472 d,0.75,0.55,3.97664,909.0,117.0,4684.0,0.71,0.67,39.0341,55.4590314,-62.7672667,Transit,2022
HD 215497 c,13.0,111.23994245,566.0,,,5113.0,0.85,0.92,40.5468,341.652714,-56.5997984,Radial Velocity,2009
TOI-5726.01,2.554,7.05,5.491125215,1093.03,338.95,5874.0,1.106,1.06,108.848,123.3950504,68.5745899,Transit,2024
GJ 338 B b,3.25,10.6,24.422,391.0,,4014.0,0.58,0.64,6.33256,138.5916722,52.6835211,Radial Velocity,2020
TOI-2285 b,1.77,19.5,13.635109,358.0,3.91,3491.0,0.464,0.454,42.409,332.5632644,58.7060934,Transit,2021
Kepler-659 b,2.5,6.8,17.671796,513.0,21.309,4870.0,0.74,0.79,722.64,287.6081777,47.5096893,Transit,2016
TOI-411 c,2.328,9.72,9.573083,931.0,156.75,6169.0,1.117,1.098,62.7792,54.819538,-42.7630276,Transit,2022
Kepler-1118 b,2.74,7.95,38.6715075,502.0,20.011,5688.0,0.97,0.96,888.325,299.9656619,44.1608805,Transit,2016
Kepler-133 c,2.84,8.45,31.517586,663.0,67.161,5736.0,1.425,1.02,653.6,297.2778906,48.3203542,Transit,2014
Kepler-620 b,3.32,11.0,12.91375431,849.0,219.051,6155.0,1.22,1.15,1355.28,291.1593939,51.3348228,Transit,2016
Kepler-92 b,3.51,64.3,13.749,975.0,257.776,5883.0,1.7,1.21,477.992,289.0860607,41.5630224,Transit,2013
HAT-P-51 b,13.50682174,97.57332095,4.21802091,1168.2,310.0,5453.0,0.995,0.961,440.089,21.0651251,32.8107,Transit,2015
Kepler-179 b,1.64,3.33,2.735926,1075.0,360.262,5302.0,0.759,0.893,605.68,298.6636163,47.7619329,Transit,2014
Kepler-166 b,2.27,5.77,7.650254,772.0,77.543,5413.0,0.742,0.811,603.53,293.1600977,48.8812074,Transit,2014
Kepler-595 c,1.009,3.3,12.38602,679.0,50.23,5138.5,0.821,0.93,643.009,294.5703593,50.6730147,Transit,2020
Kepler-28 c,1.857,2.06,8.99,509.0,35.898,4499.3,0.664,0.684,438.359,292.1370409,42.4294835,Transit,2011
Kepler-210 b,2.94,8.96,2.453234,737.0,122.139,4559.0,0.65,0.77,232.75,292.5034196,43.0832188,Transit,2014
Kepler-782 b,3.21,10.4,158.6853308,350.0,3.987,5867.0,1.01,0.98,446.844,288.868246,47.75947,Transit,2016
Kepler-414 c,3.01,29.9,7.171,890.0,137.086,5536.0,0.946,0.89,413.46,297.9615616,48.2443363,Transit Timing Variations,2014
Kepler-238 f,2.0,13.5,50.447,568.0,35.869,5800.0,0.96,1.06,1798.75,287.8971066,40.6378141,Transit,2013
Kepler-664 b,2.66,7.56,2.525593315,1406.0,652.435,5754.0,1.02,1.01,1210.12,288.7549029,48.226203,Transit,2016
Kepler-1123 b,1.67,3.43,4.33946454,1061.0,190.016,5500.0,0.9,0.93,704.323,294.5177291,50.6703927,Transit,2016
Kepler-1098 b,1.3,2.24,2.543072855,1319.0,995.67,5794.0,0.99,0.99,1049.19,295.502673,43.2326992,Transit,2016
HAT-P-49 b,17.82231,699.226,2.69155,2131.0,4392.03,6820.0,2.06,2.22,350.351,305.4413294,26.6926759,Transit,2014
XO-4 b,14.01125,451.3186,4.12508,1630.0,1112.27,6397.0,1.45,1.1,272.655,110.3880285,58.2681094,Transit,2010
Kepler-1084 b,1.11,1.41,2.05333679,1737.0,1766.593,6113.0,1.28,1.12,405.533,290.1019809,48.251146,Transit,2016
Kepler-520 b,1.66,3.39,19.67416124,711.0,59.77,6112.0,1.09,1.1,623.901,293.1802903,41.6177408,Transit,2016
nu Oph b,12.0,7057.73298,529.93,,,4887.0,12.24,2.61,46.2107,269.7566013,-9.7741342,Radial Velocity,2012
